_id,type,companyOrSchool,civility,howWeMet,createdAt,updatedAt,validatedEmail,company.type,company.address,company.tvaNumber,lastConnection,,"La colonne ""companyOrSchool"" est une précision du type de client. La collection profile contient les profils de type ""expert"" et ""company"".
Dans les profils de type ""company"" nous faisons la distinctions entre les entreprises (company) et les écoles (school). "
63359555a473c11f43214084,company,school,female,bouche à oreille,29/09/2022,1672909445388,VRAI,SAS,"406 Boulevard Jean Jacques Bosc, Bègles, France",,1672909445386,,
6329698522d1f03a8a691b23,company,company,female,bouche à oreille,20/09/2022,1690207945389,VRAI,SAS,"2 Chemin des Arestieux, Cestas, France",,1690207945387,,
632350bd3acb9b4d5764ebe7,company,company,male,autre,15/09/2022,1684271791069,VRAI,SAS,"5 bis Rue de Landegrand, Parempuyre, France",,1684271791066,,
6322f65d3acb9b4d5764eb84,company,company,female,autre,15/09/2022,1663235677389,VRAI,,,,,,
6321aead3acb9b4d5764ea02,company,company,male,bouche à oreille,14/09/2022,1663151868268,VRAI,SAS,"10 Rue Louis Breguet, 31700 Cornebarrieu, France",,,,
631f413054f3b47232b1fe85,company,company,male,entreprise partenaire,12/09/2022,1663135592551,VRAI,,,,1663108308038,,
6317295d6977227acbbbebc3,company,company,female,autre,06/09/2022,1662562415928,VRAI,,"36 Rue de Molina, Saint-Étienne, France",,1662562415926,,
630e26801acadb22d66bd5b6,company,school,female,bouche à oreille,30/08/2022,1661872063820,VRAI,ENCOURS,"Bd Salvador Allende, L'Isle-d'Espagnac, France",,,,
630cc7d347b68d445cd21c56,company,company,female,recherche web,29/08/2022,1661781971071,VRAI,,,,,,
630880b847b68d445cd21782,company,company,female,autre,26/08/2022,1672752610019,VRAI,,"87 Avenue Charles de Gaulle, Bruges, France",,1672752610018,,
6306238247b68d445cd2154b,company,school,female,bouche à oreille,24/08/2022,1672652297906,VRAI,ASSO,"73 Avenue Thiers, Bordeaux, France",,1672652297904,,
62fba39347b68d445cd20c58,company,school,female,bouche à oreille,16/08/2022,1673278709221,VRAI,SA,"58 Rue de Marseille, Bordeaux, France",,1673278709218,,
62e12ef0f5e6794d89e1e6a8,company,school,female,association partenaire,27/07/2022,1679929538830,VRAI,SAS,"11 Passage Panama, Lyon, France",,1679929538828,,
62dfe255f5e6794d89e1e50b,company,school,female,,26/07/2022,1698129568464,VRAI,ASSO,"Ecole de Commerce Bordeaux - ISG, 85 Rue du Jardin public, 33000 Bordeaux, France",0,1698129568461,,
62d9b481f5e6794d89e1de21,company,school,female,entreprise partenaire,21/07/2022,1658434853357,VRAI,SAS,"1 Rue Marie Curie, Plescop, France",,,,
62d9662ff5e6794d89e1ddd9,company,school,male,entreprise partenaire,21/07/2022,1701704537937,VRAI,SAS,"Carré Lafayette, 5 Place Aristide Briand, 44000 Nantes, France",,1701700135571,,
62d94e30f5e6794d89e1dd7d,company,school,female,bouche à oreille,21/07/2022,1658931767625,VRAI,GIE,"349 Rue de la Cavalade, Montpellier, France",,1658931767623,,
62d659d7f5e6794d89e1da47,company,school,female,autre,19/07/2022,1667464899872,VRAI,,,,1667464899870,,
62cd9e0ec43a1c07852b7266,company,school,female,bouche à oreille,12/07/2022,1661269087739,VRAI,SAS,"4 quai des Queyries, 33100 Bordeaux",,1661269087736,,
62cc4f32c43a1c07852b6f98,company,school,male,publicité,11/07/2022,1666175094085,VRAI,,53 cours Albert Thomas 69003 Lyon,,1666175094082,,
62cc0bf3c43a1c07852b6f1c,company,school,male,publicité,11/07/2022,1657539890228,VRAI,ASSO,"8 Rue des Frères Charles et Alcide d' Orbigny, Pau, France",,,,
62c57bc103f9d052cb4400f3,company,school,female,bouche à oreille,06/07/2022,1682609697912,VRAI,ASSO,"10 Rue des Terres Neuves, Bègles, France",,1682609697910,,
62c451e903f9d052cb43fff0,company,school,male,autre,05/07/2022,1701423373804,VRAI,ASSO,"2 allée Marianne Loir, 33800 Bordeaux",0,1701423373801,,
62c2b63d03f9d052cb43fe18,company,school,female,association partenaire,04/07/2022,1656927805414,VRAI,,,,,,
62bf021ab92b4e1a8ec37107,company,company,male,publicité,01/07/2022,1656685172307,VRAI,SARL,"141 Avenue de Wagram, Paris, France",,,,
62bd8c96b92b4e1a8ec36eef,company,school,female,bouche à oreille,30/06/2022,1696860212360,VRAI,ASSO,"264 Boulevard Godard, Bordeaux, France",,1696860212356,,
62bd759db92b4e1a8ec36ee3,company,school,male,bouche à oreille,30/06/2022,1656590214545,VRAI,SAS,"11 Rue Louis Blériot, Bègles, France",,,,
62bc6969b92b4e1a8ec36e14,company,school,female,bouche à oreille,29/06/2022,1689599008469,VRAI,ASSO,"85 Rue du Jardin public, 33000 Bordeaux",,1689599008464,,
62b0729994bf604e68e19fc3,company,school,female,bouche à oreille,20/06/2022,1678705934345,VRAI,SAS,"4 Avenue de Kaarst, La Madeleine, France",,1678705823745,,
62a848fa0eef6a518ff0cc6a,company,school,female,bouche à oreille,14/06/2022,1658326896485,VRAI,SARL,"26 Rue Raze, Bordeaux, France",,1658326664650,,
62a095b9d57a952ac7f6d6b3,company,school,female,recherche web,08/06/2022,1654691346167,VRAI,,,,,,
62988275d57a952ac7f6cf0c,company,company,female,association partenaire,02/06/2022,1665432905685,VRAI,SAS,"2 Chemin des Arestieux, Cestas, France",,1665432905682,,
6295f8541fbb047964271f0f,company,school,male,autre,31/05/2022,1654083566714,VRAI,,,,1654083566713,,
6295dca21fbb047964271eea,company,school,female,autre,31/05/2022,1701251721430,VRAI,,,,1701251721427,,
628f9a221fbb0479642719e9,company,company,male,recherche web,26/05/2022,1653578274366,VRAI,,,,,,
628ce28c1fbb047964271842,company,school,female,autre,24/05/2022,1653400204739,VRAI,,,,,,
628cd33a8cd3654f4645a0a4,company,school,male,bouche à oreille,24/05/2022,1653398401803,VRAI,SARL,"INSEEC MSc & MBA, Quai de Bacalan, Bordeaux, France",,1653398401801,,
627a21fc8b607267583f722c,company,school,female,autre,10/05/2022,1657532867692,VRAI,SAS,"Webtech Institute - Ecole d'Informatique Lille, Lille, France",,1657532867690,,
6272719692c2ec2a7d267b16,company,school,female,publicité,04/05/2022,1653396021956,VRAI,,,,,,
6271778692c2ec2a7d267a64,company,school,male,autre,03/05/2022,1700925755008,VRAI,ASSO,"4 Rue Paul Bernies, Toulouse, France",0,1700925755006,,
626bf65e92c2ec2a7d2676cd,company,company,male,bouche à oreille,29/04/2022,1657553402376,VRAI,,,,1657553402375,,
626808c6e78e047aff451415,company,company,female,bouche à oreille,26/04/2022,1653396021926,VRAI,SAS,"52 Rue Montmartre, Paris, France",,,,
625938bca6a5e0544be60ca2,company,,female,autre,15/04/2022,1699254825811,VRAI,SAS,"32 Rue de la Garbiero, Salon-de-Provence, France",,1699254825809,,
624ffc81b8f602159939792c,company,,male,bouche à oreille,08/04/2022,1687264930051,VRAI,SAS,"86 Cours de la Martinique, Bordeaux, France",,1687264626559,,
624af22e35e1f40873f821cc,company,,male,autre,04/04/2022,1653396021787,VRAI,SARL,"679 Avenue de la République, Lille, France",,1649411675012,,
6241e702c60bd00898a3845d,company,,female,autre,28/03/2022,1653396021739,VRAI,SAS,"111 Avenue Victor Hugo, Paris, France",,,,
623d87ff8135b2295c14001b,company,,male,,25/03/2022,1678205147046,VRAI,ASSO,"264 Bd Godard, Bordeaux, France",,1678205147043,,
62388f4895809f08f186715d,company,,female,autre,21/03/2022,1653396021696,VRAI,,,,1649151728770,,
6234a5469bdf0c49877f89b5,company,,male,bouche à oreille,18/03/2022,1653396021677,VRAI,SAS,"375 Avenue Saint-Just, La Garde, France",,1647865951543,,
62335c6e9bdf0c49877f88d5,company,,female,autre,17/03/2022,1653396021659,VRAI,SAS,"CESI, 16 RUE MAGELLAN 31670 LABEGE",,,,
6230a7789bdf0c49877f8654,company,,female,autre,15/03/2022,1698240442678,VRAI,SAS,85 rue du Jardin Public,,1698240442676,,
6220e880240f4e2730b14c6e,company,,male,bouche à oreille,03/03/2022,1653396021578,VRAI,SA,"3 Rue Raymond Lavigne, Bordeaux, France",,1646326401841,,
621f7919240f4e2730b14b7e,company,,male,autre,02/03/2022,1653396021572,VRAI,ASSO,"10 Rue René Cassin, Bordeaux, France",,,,
620e4f9e40cc3e4bf30441c0,company,,female,autre,17/02/2022,1653396021514,VRAI,ASSO,"186 Route de Blagnac, Toulouse, France",,1645107259773,,
61fa88f795e32c4827f99ec4,company,,female,autre,02/02/2022,1653396021473,,,,,1644239792046,,
61fa87c095e32c4827f99ebc,company,,female,entreprise partenaire,02/02/2022,1653396021465,VRAI,ASSO,,,1645111776759,,
61fa87be95e32c4827f99eba,company,,female,publicité,02/02/2022,1653396021461,VRAI,ASSO,"rue rené cassin, 33000 bordeaux",,1643898106497,,
61f9723995e32c4827f99e30,company,,male,autre,01/02/2022,1653396021458,VRAI,SAS,3 ALLEE DES INTERNAUTES 02200 SOISSONS,,,,
61f7f94d95e32c4827f99d2c,company,,female,autre,31/01/2022,1689578041819,VRAI,ASSO,"4 Rue Paul Bernies, Toulouse, France",,1689578041817,,
61f40a2395e32c4827f99a85,company,,female,,28/01/2022,1653396021423,VRAI,MICRO,"12 Rue de la Gâche, Haute-Goulaine, France",,,,
61ea690641979a0867314035,company,,female,bouche à oreille,21/01/2022,1660802686577,VRAI,MICRO,"1 Avenue du Colonel Henri Rol-Tanguy, Paris, France",,1660802686574,,
61e6cb8441979a0867313d90,company,,female,bouche à oreille,18/01/2022,1692804357928,VRAI,,,,1692804276374,,
61dff339f18aaa130b6cd03a,company,,male,association partenaire,13/01/2022,1653396021291,VRAI,,,,,,
61d54c1fca71a24b561b8329,company,,male,autre,05/01/2022,1700470304020,VRAI,SAS,4 quai des Queyries 33100 Bordeaux,,1700470304018,,
61d34a21ca71a24b561b7d85,company,,female,entreprise partenaire,03/01/2022,1653396021248,VRAI,SARL,,,1641309770504,,
61cae1f5ca71a24b561b7850,company,,female,entreprise partenaire,28/11/2021,1653396021242,VRAI,,,,,,
